group_key,n_members,avg_ret_6m,group_rs_6m,group_rs_100,group_rs_99,group_rank,group_grade
Communication Services | Advertising Agencies,40,2.818002292454024,2.3737970630672285,100.0,99.0,1,A
Healthcare | Biotechnology,594,0.534192537355047,1.7592155558929097,99.31506849315068,98.32191780821917,2,A
Basic Materials | Other Precious Metals & Mining,6,0.9144521365138892,1.4088916366947657,98.63013698630137,97.64383561643835,3,A
Basic Materials | Other Industrial Metals & Mining,24,0.4662825741582693,1.1326585326642464,97.94520547945206,96.96575342465754,4,A
Basic Materials | Gold,34,0.610722849719861,0.9597491096229822,97.26027397260275,96.28767123287672,5,A
Healthcare | Drug Manufacturers - Specialty & Generic,76,0.2626252458596164,0.9486150463796527,96.57534246575342,95.60958904109589,6,A
Basic Materials | Silver,3,0.6966708290799956,0.8566782372102906,95.8904109589041,94.93150684931506,7,A
Technology | Communication Equipment,42,0.707944791409358,0.8155850176566148,95.2054794520548,94.25342465753425,8,A
Basic Materials | Copper,4,0.6638782498350956,0.728311672666881,94.52054794520548,93.57534246575342,9,A
Basic Materials | Coking Coal,5,0.8864346341208122,0.6386967931716306,93.83561643835617,92.8972602739726,10,A
Technology | Semiconductor Equipment & Materials,27,0.7803328533262435,0.6068085230721452,93.15068493150685,92.21917808219177,11,A
Financial Services | Capital Markets,69,0.6395363112967355,0.5293829427574158,92.46575342465754,91.54109589041096,12,A
Utilities | Utilities - Independent Power Producers,4,0.27037193130230863,0.5130838253418343,91.78082191780823,90.86301369863014,13,A
Financial Services | Banks - Diversified,10,0.35402980000686857,0.4572141599810168,91.0958904109589,90.18493150684931,14,A
Basic Materials | Aluminum,4,0.5216534839238303,0.43121619941978356,90.41095890410958,89.5068493150685,15,A
Technology | Semiconductors,60,0.33823560187877044,0.4096898762985706,89.72602739726028,88.82876712328768,16,B
Energy | Uranium,5,0.3670986533518902,0.401670128197041,89.04109589041096,88.15068493150685,17,B
Consumer Cyclical | Luxury Goods,7,0.6436966948173305,0.3933859243369911,88.35616438356165,87.47260273972603,18,B
Industrials | Electrical Equipment & Parts,41,0.47036715392977957,0.35998789984000845,87.67123287671232,86.7945205479452,19,B
Consumer Cyclical | Department Stores,2,0.7070567633809877,0.3465527746646228,86.98630136986301,86.11643835616438,20,B
Technology | Electronic Components,40,0.2773277106763854,0.34290585023186665,86.3013698630137,85.43835616438356,21,B
Energy | Thermal Coal,4,0.4143847753856415,0.3405858631713385,85.61643835616438,84.76027397260273,22,B
Technology | Solar,21,0.19850827340202049,0.329813451094527,84.93150684931507,84.08219178082192,23,B
Healthcare | Diagnostics & Research,43,0.41967583274643755,0.3255093136710864,84.24657534246576,83.4041095890411,24,B
"Consumer Cyclical | Furnishings, Fixtures & Appliances",24,0.2550656450414787,0.31703030219640965,83.56164383561644,82.72602739726028,25,B
Communication Services | Broadcasting,13,0.30014480432595353,0.2702135452415376,82.87671232876713,82.04794520547945,26,B
Consumer Defensive | Discount Stores,7,0.10965441274237876,0.24943679200924,82.1917808219178,81.36986301369862,27,B
Industrials | Aerospace & Defense,59,0.1331708407038852,0.24464728100173164,81.5068493150685,80.69178082191782,28,B
Industrials | Engineering & Construction,43,0.14934965897066932,0.2303205896336638,80.82191780821918,80.01369863013699,29,B
Financial Services | Mortgage Finance,6,0.6690494981812901,0.22560089347006418,80.13698630136986,79.33561643835617,30,B
Real Estate | REIT - Healthcare Facilities,10,0.22437656169165318,0.2171138100985574,79.45205479452055,78.65753424657534,31,B
Energy | Oil & Gas Refining & Marketing,12,0.20338401658113794,0.2111609226854414,78.76712328767124,77.97945205479452,32,B
Consumer Cyclical | Lodging,8,0.32273554287619866,0.20874260286331844,78.08219178082192,77.3013698630137,33,B
Industrials | Conglomerates,21,0.11597509979335238,0.2072511925287144,77.3972602739726,76.62328767123287,34,B
Industrials | Specialty Industrial Machinery,53,0.2854274976024474,0.20249907848677118,76.71232876712328,75.94520547945206,35,B
Healthcare | Medical Care Facilities,41,-0.014642494357533061,0.19822901133483953,76.02739726027397,75.26712328767124,36,B
Technology | Computer Hardware,31,0.25625429395021987,0.19318882596969603,75.34246575342466,74.58904109589041,37,B
Industrials | Airlines,13,0.3572955945663156,0.19009808537897988,74.65753424657534,73.91095890410959,38,B
Consumer Cyclical | Internet Retail,30,0.24932418704823003,0.17007484176380777,73.97260273972603,73.23287671232876,39,B
Consumer Cyclical | Auto Parts,45,0.13440805205985493,0.16974503212103764,73.28767123287672,72.55479452054794,40,B
Energy | Oil & Gas Equipment & Services,29,0.2121972873656503,0.1656439748584022,72.6027397260274,71.87671232876713,41,B
Healthcare | Drug Manufacturers - General,14,0.26790629784626413,0.15495688091894708,71.91780821917808,71.1986301369863,42,B
Real Estate | Real Estate - Development,11,0.29261282162561475,0.1526767097386141,71.23287671232876,70.52054794520548,43,B
Real Estate | Real Estate Services,36,0.3642201951421148,0.1520915986285022,70.54794520547945,69.84246575342466,44,B
Energy | Oil & Gas Drilling,4,0.2880660240343743,0.1453169570564019,69.86301369863014,69.16438356164383,45,C
Healthcare | Medical Distribution,11,0.009441012103362201,0.14251463431976716,69.17808219178082,68.48630136986301,46,C
Utilities | Utilities - Regulated Gas,8,0.11368760294654207,0.14038504673074986,68.4931506849315,67.80821917808218,47,C
Utilities | Utilities - Regulated Electric,32,0.08770386765049903,0.14035308713249506,67.8082191780822,67.13013698630138,48,C
Financial Services | Banks - Regional,331,0.19312497064777878,0.13496946282372804,67.12328767123287,66.45205479452055,49,C
Real Estate | Real Estate - Diversified,1,0.26912720813377344,0.12688391333880147,66.43835616438356,65.77397260273972,50,C
Technology | Software - Infrastructure,141,0.06075901982233206,0.12385229278423784,65.75342465753424,65.0958904109589,51,C
Utilities | Utilities - Diversified,6,0.09005469571460863,0.123149082845947,65.06849315068493,64.41780821917808,52,C
Consumer Cyclical | Travel Services,16,0.17733091259673048,0.11994720752830872,64.38356164383562,63.73972602739726,53,C
Communication Services | Telecom Services,43,0.20371406949107274,0.11725264712880085,63.6986301369863,63.06164383561644,54,C
Consumer Defensive | Beverages - Brewers,4,-0.004134599371178521,0.11356462849717773,63.013698630136986,62.38356164383561,55,C
Industrials | Metal Fabrication,12,0.01658001972028998,0.11124602278530865,62.328767123287676,61.7054794520548,56,C
Consumer Defensive | Farm Products,23,0.0954664870068027,0.10375457453868872,61.64383561643836,61.02739726027397,57,C
Consumer Cyclical | Footwear & Accessories,12,0.4956776528795754,0.09326171706076299,60.95890410958904,60.34931506849315,58,C
Healthcare | Healthcare Plans,9,0.06680667697198778,0.09203480811877929,60.273972602739725,59.671232876712324,59,C
Consumer Cyclical | Leisure,25,0.1646562115563439,0.08935404716541555,59.589041095890416,58.993150684931514,60,C
Industrials | Waste Management,13,0.04838041450925672,0.08350095708651518,58.9041095890411,58.31506849315069,61,C
Financial Services | Insurance - Diversified,8,0.0841629578246973,0.07673534598303754,58.21917808219178,57.63698630136986,62,C
Energy | Oil & Gas Midstream,34,0.013958892434464201,0.07297390465732666,57.534246575342465,56.958904109589035,63,C
Industrials | Specialty Business Services,32,-0.0014049923196281454,0.07175106476951493,56.849315068493155,56.280821917808225,64,C
Industrials | Airports & Air Services,5,0.02361887240814673,0.07056284717760916,56.16438356164384,55.6027397260274,65,C
Consumer Defensive | Beverages - Non-Alcoholic,12,0.05793977152565844,0.06539157025445803,55.47945205479452,54.92465753424658,66,C
Real Estate | REIT - Hotel & Motel,13,0.16252886502689654,0.06323096296351416,54.794520547945204,54.24657534246575,67,C
Industrials | Consulting Services,19,-0.10457398837436974,0.06117544680641118,54.109589041095894,53.56849315068494,68,C
Financial Services | Insurance - Property & Casualty,30,0.05593285893340568,0.05950617597620442,53.42465753424658,52.89041095890411,69,C
Industrials | Pollution & Treatment Controls,16,0.03070855069429603,0.05692268480220191,52.73972602739726,52.21232876712329,70,C
Financial Services | Asset Management,315,0.068286514440901,0.0566977628378797,52.054794520547944,51.534246575342465,71,C
Unknown | Unknown,169,0.07083079817531425,0.05639976355983576,51.369863013698634,50.85616438356165,72,C
Financial Services | Insurance - Life,13,0.10793338712675143,0.05593927894969702,50.68493150684932,50.178082191780824,73,C
Financial Services | Credit Services,42,0.08254067052430417,0.051458528101071606,50.0,49.5,74,C
Basic Materials | Steel,15,0.1390148933390207,0.05143292092859446,49.31506849315068,48.821917808219176,75,C
Communication Services | Internet Content & Information,66,0.11626963456748081,0.050896650664669627,48.63013698630137,48.14383561643836,76,C
Financial Services | Insurance - Specialty,12,0.04216436896813425,0.04970609749814078,47.94520547945205,47.46575342465753,77,C
Consumer Cyclical | Apparel Retail,29,0.19177195464671434,0.047806884668931765,47.26027397260274,46.78767123287671,78,C
Utilities | Utilities - Regulated Water,12,0.1103482921084598,0.04604696496638334,46.57534246575342,46.10958904109589,79,C
Industrials | Rental & Leasing Services,16,0.05139774840209622,0.04088028764287923,45.89041095890411,45.43150684931507,80,C
Financial Services | Shell Companies,223,0.02717060656529364,0.03992289024096501,45.20547945205479,44.75342465753425,81,C
Consumer Cyclical | Home Improvement Retail,5,0.08210190854744452,0.035166419600844635,44.52054794520548,44.07534246575342,82,C
Technology | Information Technology Services,58,0.09255406609390548,0.031712771530436064,43.83561643835616,43.3972602739726,83,C
Basic Materials | Specialty Chemicals,38,0.20435633482066135,0.03163613513100518,43.15068493150685,42.71917808219178,84,C
Consumer Cyclical | Packaging & Containers,15,0.10791582825448606,0.0224757090328668,42.465753424657535,42.04109589041096,85,C
Real Estate | REIT - Mortgage,34,0.06775675915534281,0.020599733599027194,41.78082191780822,41.36301369863014,86,C
Consumer Cyclical | Apparel Manufacturing,14,0.20569772011468088,0.01310980107555689,41.0958904109589,40.68493150684931,87,C
Industrials | Industrial Distribution,16,0.07094808249621917,0.007829027397512199,40.41095890410959,40.00684931506849,88,C
Consumer Defensive | Food Distribution,10,0.043083073042834465,0.00736536511590401,39.726027397260275,39.32876712328767,89,D
Healthcare | Health Information Services,49,0.061484613030587776,0.002563696496211183,39.04109589041096,38.65068493150685,90,D
Real Estate | REIT - Industrial,9,0.0654299873513923,-2.429390310091897e-05,38.35616438356164,37.97260273972603,91,D
Consumer Cyclical | Resorts & Casinos,12,0.13884081298269954,-0.0008398395634332118,37.67123287671233,37.294520547945204,92,D
Real Estate | REIT - Retail,19,0.010105047032228073,-0.008944658281951028,36.986301369863014,36.61643835616438,93,D
Industrials | Tools & Accessories,4,0.12603445978087494,-0.012081188658699461,36.3013698630137,35.93835616438356,94,D
Industrials | Security & Protection Services,18,-0.002438863555150957,-0.012495979947669362,35.61643835616438,35.26027397260274,95,D
Healthcare | Pharmaceutical Retailers,6,0.2111041600132868,-0.019928551966143033,34.93150684931507,34.582191780821915,96,D
Basic Materials | Building Materials,10,0.012613883784812256,-0.022452576008328312,34.24657534246575,33.90410958904109,97,D
Financial Services | Financial Data & Stock Exchanges,9,0.0267665602288375,-0.022775639266184595,33.56164383561644,33.226027397260275,98,D
Consumer Defensive | Education & Training Services,33,-0.10298753495225876,-0.023492451171860145,32.87671232876712,32.54794520547945,99,D
Industrials | Marine Shipping,31,0.057981981110411966,-0.02862757538818326,32.19178082191781,31.86986301369863,100,D
Healthcare | Medical Instruments & Supplies,49,0.04511372956039763,-0.0308570705163053,31.506849315068493,31.191780821917806,101,D
Financial Services | Insurance - Reinsurance,4,0.05061994491751434,-0.03472165913929179,30.82191780821918,30.513698630136986,102,D
Financial Services | Financial Conglomerates,6,0.42593654268247977,-0.03887349563308306,30.136986301369863,29.835616438356162,103,D
Consumer Cyclical | Auto & Truck Dealerships,18,0.10525119605854659,-0.049725504395116304,29.45205479452055,29.157534246575345,104,D
Industrials | Railroads,8,0.019775185242950827,-0.0520630108377096,28.767123287671232,28.479452054794518,105,D
Technology | Scientific & Technical Instruments,28,-0.0005216458440711772,-0.052998905709716625,28.08219178082192,27.8013698630137,106,D
Energy | Oil & Gas Integrated,11,-0.09191589178417002,-0.05450539081781465,27.397260273972602,27.123287671232877,107,D
Utilities | Utilities - Renewable,18,0.05251120861639234,-0.05459504387936837,26.71232876712329,26.445205479452056,108,D
Real Estate | REIT - Specialty,18,-0.057072926411713354,-0.060727232307290796,26.027397260273972,25.767123287671232,109,D
Real Estate | REIT - Residential,13,-0.043610015122879035,-0.061923425915155865,25.34246575342466,25.089041095890412,110,D
Technology | Software - Application,193,-0.06512149581111192,-0.06470666393384276,24.65753424657534,24.410958904109588,111,D
Industrials | Infrastructure Operations,1,-0.1439790476251106,-0.06646983802307647,23.972602739726025,23.732876712328764,112,D
Energy | Oil & Gas E&P,47,-0.09537276708848451,-0.07314563289894116,23.28767123287671,23.054794520547944,113,D
Communication Services | Entertainment,42,-0.061912769997231755,-0.08375257198335477,22.602739726027394,22.376712328767123,114,D
Real Estate | REIT - Diversified,15,0.00619819954637891,-0.0838901572786592,21.91780821917808,21.6986301369863,115,D
Healthcare | Medical Devices,127,0.0015796019029646606,-0.08757403049480236,21.232876712328768,21.02054794520548,116,D
Technology | Consumer Electronics,14,0.03756682732976892,-0.11370961843246354,20.54794520547945,20.342465753424655,117,D
Industrials | Farm & Heavy Construction Machinery,21,-0.049792820286898964,-0.11686342119919917,19.863013698630137,19.664383561643834,118,E
Consumer Cyclical | Gambling,11,-0.1040028093973085,-0.12362835606525113,19.17808219178082,18.986301369863014,119,E
Consumer Cyclical | Recreational Vehicles,10,-0.00038640136128991197,-0.13171132473734745,18.493150684931507,18.30821917808219,120,E
Consumer Defensive | Packaged Foods,50,-0.10449746744750044,-0.13590495690849244,17.80821917808219,17.63013698630137,121,E
Basic Materials | Chemicals,11,-0.025189704533529936,-0.1384663054805101,17.123287671232877,16.952054794520546,122,E
Real Estate | REIT - Office,19,-0.10212115497987034,-0.14085631370554205,16.43835616438356,16.273972602739725,123,E
Industrials | Building Products & Equipment,23,-0.01812371762876014,-0.15206853373322868,15.753424657534246,15.595890410958903,124,E
Consumer Cyclical | Specialty Retail,39,-0.097121173712554,-0.1560729689926012,15.068493150684931,14.917808219178081,125,E
Consumer Cyclical | Residential Construction,11,0.037888978618793374,-0.16266134846470445,14.383561643835616,14.239726027397259,126,E
Communication Services | Electronic Gaming & Multimedia,23,-0.08915077036149699,-0.17290891453614937,13.698630136986301,13.561643835616438,127,E
Technology | Electronics & Computer Distribution,7,-0.14277831845590977,-0.17597995435567612,13.013698630136986,12.883561643835616,128,E
Industrials | Integrated Freight & Logistics,26,-0.06026244614688197,-0.18139669694457886,12.32876712328767,12.205479452054794,129,E
Industrials | Trucking,10,0.01767757418451838,-0.18351010456995642,11.643835616438356,11.527397260273972,130,E
Consumer Cyclical | Restaurants,49,-0.20408916372392785,-0.2102227297804813,10.95890410958904,10.84931506849315,131,E
Consumer Cyclical | Personal Services,13,-0.27235006292280867,-0.21786353913916925,10.273972602739725,10.171232876712327,132,E
Consumer Defensive | Grocery Stores,9,-0.09816043715805377,-0.21974302991521674,9.58904109589041,9.493150684931507,133,E
Consumer Cyclical | Auto Manufacturers,26,-0.19821731510230062,-0.22142038560422572,8.904109589041095,8.815068493150685,134,E
Communication Services | Publishing,5,-0.11574296766306127,-0.24637165250470489,8.21917808219178,8.136986301369863,135,E
Industrials | Business Equipment & Supplies,4,-0.12856953777929775,-0.2574166240886451,7.534246575342466,7.4589041095890405,136,E
Basic Materials | Lumber & Wood Production,4,-0.18959074218299105,-0.2741809874246348,6.8493150684931505,6.780821917808219,137,E
Consumer Defensive | Household & Personal Products,26,-0.2433008274144486,-0.3041866121385998,6.164383561643835,6.102739726027397,138,E
Consumer Defensive | Confectioners,3,-0.047991737810625046,-0.30648060317046494,5.47945205479452,5.424657534246575,139,E
Financial Services | Insurance Brokers,19,-0.18867158157833808,-0.31592857917654976,4.794520547945205,4.7465753424657535,140,E
Industrials | Staffing & Employment Services,11,-0.10906987901504374,-0.3268045583737289,4.10958904109589,4.068493150684931,141,E
Consumer Cyclical | Textile Manufacturing,3,-0.13054606281799608,-0.3317091387378761,3.4246575342465753,3.3904109589041096,142,E
Consumer Defensive | Tobacco,7,-0.29448467360317476,-0.33795782812369557,2.73972602739726,2.7123287671232874,143,E
Basic Materials | Agricultural Inputs,8,-0.3383401805452259,-0.38537105567875846,2.054794520547945,2.0342465753424657,144,E
Consumer Defensive | Beverages - Wineries & Distilleries,10,-0.2742168050209822,-0.38859820288692015,1.36986301369863,1.3561643835616437,145,E
Basic Materials | Paper & Paper Products,2,-0.3982363897243959,-0.44876318805448656,0.684931506849315,0.6780821917808219,146,E
